id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
b20e2b18-a0ba-4103-921f-09043f8d7576,ISC,APEX Chipmunk FLEX PPE Regs Kit - Xstatic,,,,,,10,10,,,,,,,,,,,,,,"RP285A1 APEX Rope Wrench (instelbare cam, openklapbaar zijframe) + Chipmunk FLEX Tether + Teufelberger Xstatic (11.7mm). Complete gecertificeerde PPE-kit (rope wrench + retentiesysteem + PHLOTICH-poelie + aluminium HMS-karabiner met supersafe triple-lock gate + Teufelberger OP 85cm e2e knooptouw 10mm + klimtouw). Certificering geldt alleen voor de complete kit, gebruikt in zijn geheel volgens de gebruiksaanwijzing, met het knooptouw geknoopt in een 5-wikkel Distel-configuratie. TÜV Austria Services GmbH (0408) als notified body. Bron: iscwales.com productpagina + eigen UIM/Declaration of Conformity. Handleiding (gedeeld ISC-document ""ROPE WRENCH SYSTEM"" UIM, o.a. gehost op iscwales.com/Uploads/Products/UIMs/ onder verschillende bestandsnamen per kit-variant maar byte-voor-byte identiek bestand; curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" Deze PPE Regs Kit bevat zowel aluminium hardware (rope wrench, poelie, karabiner) als polyester textiel (knooptouw, klimtouw). Zelfde categorie-conventie als de reeds bestaande ISC Merlin Block-rijen (UB033/UB066, Aluminium/Webbing, categorie srl) in deze catalogus, die voor exact dezelfde generieke ISC-Lifespan-tekst al op max_age_use_years=10 / max_age_mfr_years=10 staan: bij een kit met gemengd metaal+textiel geldt de kortste (textiel-)grens voor de hele kit, niet ""onbeperkt"" omdat er ook metaal in zit. De tekst noemt geen apart getal voor fabricagejaar vs. eerste-gebruiksdatum, dus (net als bij de Merlin Block-rijen) dezelfde waarde (10) voor beide velden. Niet geëxtrapoleerd van andere merken; wel consistent toegepast binnen ISC zelf op basis van dezelfde letterlijke bron."
b602b653-ddb6-4c7f-8435-210b494c0837,ISC,APEX Squirrel FLEX PPE Regs Kit - drenaLINE,,,,,,10,10,,,,,,,,,,,,,,"RP285A1 APEX Rope Wrench (instelbare cam, openklapbaar zijframe) + Squirrel FLEX Tether + Teufelberger drenaLINE (11.8mm). Complete gecertificeerde PPE-kit (rope wrench + retentiesysteem + PHLOTICH-poelie + aluminium HMS-karabiner met supersafe triple-lock gate + Teufelberger OP 85cm e2e knooptouw 10mm + klimtouw). Certificering geldt alleen voor de complete kit, gebruikt in zijn geheel volgens de gebruiksaanwijzing, met het knooptouw geknoopt in een 5-wikkel Distel-configuratie. TÜV Austria Services GmbH (0408) als notified body. Bron: iscwales.com productpagina + eigen UIM/Declaration of Conformity. Handleiding (gedeeld ISC-document ""ROPE WRENCH SYSTEM"" UIM, o.a. gehost op iscwales.com/Uploads/Products/UIMs/ onder verschillende bestandsnamen per kit-variant maar byte-voor-byte identiek bestand; curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" Deze PPE Regs Kit bevat zowel aluminium hardware (rope wrench, poelie, karabiner) als polyester textiel (knooptouw, klimtouw). Zelfde categorie-conventie als de reeds bestaande ISC Merlin Block-rijen (UB033/UB066, Aluminium/Webbing, categorie srl) in deze catalogus, die voor exact dezelfde generieke ISC-Lifespan-tekst al op max_age_use_years=10 / max_age_mfr_years=10 staan: bij een kit met gemengd metaal+textiel geldt de kortste (textiel-)grens voor de hele kit, niet ""onbeperkt"" omdat er ook metaal in zit. De tekst noemt geen apart getal voor fabricagejaar vs. eerste-gebruiksdatum, dus (net als bij de Merlin Block-rijen) dezelfde waarde (10) voor beide velden. Niet geëxtrapoleerd van andere merken; wel consistent toegepast binnen ISC zelf op basis van dezelfde letterlijke bron."
06123784-27c3-4872-a53a-989f76e797c1,ISC,APEX Squirrel FLEX PPE Regs Kit - Xstatic,,,,,,10,10,,,,,,,,,,,,,,"RP285A1 APEX Rope Wrench (instelbare cam, openklapbaar zijframe) + Squirrel FLEX Tether + Teufelberger Xstatic (11.7mm). Complete gecertificeerde PPE-kit (rope wrench + retentiesysteem + PHLOTICH-poelie + aluminium HMS-karabiner met supersafe triple-lock gate + Teufelberger OP 85cm e2e knooptouw 10mm + klimtouw). Certificering geldt alleen voor de complete kit, gebruikt in zijn geheel volgens de gebruiksaanwijzing, met het knooptouw geknoopt in een 5-wikkel Distel-configuratie. TÜV Austria Services GmbH (0408) als notified body. Bron: iscwales.com productpagina + eigen UIM/Declaration of Conformity. Handleiding (gedeeld ISC-document ""ROPE WRENCH SYSTEM"" UIM, o.a. gehost op iscwales.com/Uploads/Products/UIMs/ onder verschillende bestandsnamen per kit-variant maar byte-voor-byte identiek bestand; curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" Deze PPE Regs Kit bevat zowel aluminium hardware (rope wrench, poelie, karabiner) als polyester textiel (knooptouw, klimtouw). Zelfde categorie-conventie als de reeds bestaande ISC Merlin Block-rijen (UB033/UB066, Aluminium/Webbing, categorie srl) in deze catalogus, die voor exact dezelfde generieke ISC-Lifespan-tekst al op max_age_use_years=10 / max_age_mfr_years=10 staan: bij een kit met gemengd metaal+textiel geldt de kortste (textiel-)grens voor de hele kit, niet ""onbeperkt"" omdat er ook metaal in zit. De tekst noemt geen apart getal voor fabricagejaar vs. eerste-gebruiksdatum, dus (net als bij de Merlin Block-rijen) dezelfde waarde (10) voor beide velden. Niet geëxtrapoleerd van andere merken; wel consistent toegepast binnen ISC zelf op basis van dezelfde letterlijke bron."
2e7c08d6-c737-454d-ab7a-0a9729178828,ISC,Rope Wrench PPE Regulations Kit - drenaLINE,,,,,,10,10,,,,,,,,,,,,,,"RP280 Rope Wrench + Twin-leg Tether + Teufelberger drenaLINE (11.8mm). Complete gecertificeerde PPE-kit (rope wrench + retentiesysteem + PHLOTICH-poelie + aluminium HMS-karabiner met supersafe triple-lock gate + Teufelberger OP 85cm e2e knooptouw 10mm + klimtouw). Certificering geldt alleen voor de complete kit, gebruikt in zijn geheel volgens de gebruiksaanwijzing, met het knooptouw geknoopt in een 5-wikkel Distel-configuratie. TÜV Austria Services GmbH (0408) als notified body. Bron: iscwales.com productpagina + eigen UIM/Declaration of Conformity. Handleiding (gedeeld ISC-document ""ROPE WRENCH SYSTEM"" UIM, o.a. gehost op iscwales.com/Uploads/Products/UIMs/ onder verschillende bestandsnamen per kit-variant maar byte-voor-byte identiek bestand; curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" Deze PPE Regs Kit bevat zowel aluminium hardware (rope wrench, poelie, karabiner) als polyester textiel (knooptouw, klimtouw). Zelfde categorie-conventie als de reeds bestaande ISC Merlin Block-rijen (UB033/UB066, Aluminium/Webbing, categorie srl) in deze catalogus, die voor exact dezelfde generieke ISC-Lifespan-tekst al op max_age_use_years=10 / max_age_mfr_years=10 staan: bij een kit met gemengd metaal+textiel geldt de kortste (textiel-)grens voor de hele kit, niet ""onbeperkt"" omdat er ook metaal in zit. De tekst noemt geen apart getal voor fabricagejaar vs. eerste-gebruiksdatum, dus (net als bij de Merlin Block-rijen) dezelfde waarde (10) voor beide velden. Niet geëxtrapoleerd van andere merken; wel consistent toegepast binnen ISC zelf op basis van dezelfde letterlijke bron."
6b72ad78-7654-415f-96c2-53d7471a7095,ISC,Rope Wrench PPE Regulations Kit - Xstatic,,,,,,10,10,,,,,,,,,,,,,,"RP280 Rope Wrench + Twin-leg Tether + Teufelberger Xstatic (11.7mm). Complete gecertificeerde PPE-kit (rope wrench + retentiesysteem + PHLOTICH-poelie + aluminium HMS-karabiner met supersafe triple-lock gate + Teufelberger OP 85cm e2e knooptouw 10mm + klimtouw). Certificering geldt alleen voor de complete kit, gebruikt in zijn geheel volgens de gebruiksaanwijzing, met het knooptouw geknoopt in een 5-wikkel Distel-configuratie. TÜV Austria Services GmbH (0408) als notified body. Bron: iscwales.com productpagina + eigen UIM/Declaration of Conformity. Handleiding (gedeeld ISC-document ""ROPE WRENCH SYSTEM"" UIM, o.a. gehost op iscwales.com/Uploads/Products/UIMs/ onder verschillende bestandsnamen per kit-variant maar byte-voor-byte identiek bestand; curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" Deze PPE Regs Kit bevat zowel aluminium hardware (rope wrench, poelie, karabiner) als polyester textiel (knooptouw, klimtouw). Zelfde categorie-conventie als de reeds bestaande ISC Merlin Block-rijen (UB033/UB066, Aluminium/Webbing, categorie srl) in deze catalogus, die voor exact dezelfde generieke ISC-Lifespan-tekst al op max_age_use_years=10 / max_age_mfr_years=10 staan: bij een kit met gemengd metaal+textiel geldt de kortste (textiel-)grens voor de hele kit, niet ""onbeperkt"" omdat er ook metaal in zit. De tekst noemt geen apart getal voor fabricagejaar vs. eerste-gebruiksdatum, dus (net als bij de Merlin Block-rijen) dezelfde waarde (10) voor beide velden. Niet geëxtrapoleerd van andere merken; wel consistent toegepast binnen ISC zelf op basis van dezelfde letterlijke bron."
111414cf-05a2-41a7-b589-a6215603982d,ISC,Rope Wrench SQUIRREL PPE Regulations Kit - drenaLINE,,,,,,10,10,,,,,,,,,,,,,,"RP280 Rope Wrench + Squirrel (aluminium) tether met ingebouwde poelie (bearing) + Teufelberger drenaLINE (11.8mm). Complete gecertificeerde PPE-kit (rope wrench + retentiesysteem + PHLOTICH-poelie + aluminium HMS-karabiner met supersafe triple-lock gate + Teufelberger OP 85cm e2e knooptouw 10mm + klimtouw). Certificering geldt alleen voor de complete kit, gebruikt in zijn geheel volgens de gebruiksaanwijzing, met het knooptouw geknoopt in een 5-wikkel Distel-configuratie. TÜV Austria Services GmbH (0408) als notified body. Bron: iscwales.com productpagina + eigen UIM/Declaration of Conformity. Handleiding (gedeeld ISC-document ""ROPE WRENCH SYSTEM"" UIM, o.a. gehost op iscwales.com/Uploads/Products/UIMs/ onder verschillende bestandsnamen per kit-variant maar byte-voor-byte identiek bestand; curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" Deze PPE Regs Kit bevat zowel aluminium hardware (rope wrench, poelie, karabiner) als polyester textiel (knooptouw, klimtouw). Zelfde categorie-conventie als de reeds bestaande ISC Merlin Block-rijen (UB033/UB066, Aluminium/Webbing, categorie srl) in deze catalogus, die voor exact dezelfde generieke ISC-Lifespan-tekst al op max_age_use_years=10 / max_age_mfr_years=10 staan: bij een kit met gemengd metaal+textiel geldt de kortste (textiel-)grens voor de hele kit, niet ""onbeperkt"" omdat er ook metaal in zit. De tekst noemt geen apart getal voor fabricagejaar vs. eerste-gebruiksdatum, dus (net als bij de Merlin Block-rijen) dezelfde waarde (10) voor beide velden. Niet geëxtrapoleerd van andere merken; wel consistent toegepast binnen ISC zelf op basis van dezelfde letterlijke bron."
2e7196fd-9421-4fa8-959a-feb300d4a41a,ISC,Rope Wrench SQUIRREL PPE Regulations Kit - Xstatic,,,,,,10,10,,,,,,,,,,,,,,"RP280 Rope Wrench + Squirrel (aluminium) tether met ingebouwde poelie (bearing) + Teufelberger Xstatic (11.7mm). Complete gecertificeerde PPE-kit (rope wrench + retentiesysteem + PHLOTICH-poelie + aluminium HMS-karabiner met supersafe triple-lock gate + Teufelberger OP 85cm e2e knooptouw 10mm + klimtouw). Certificering geldt alleen voor de complete kit, gebruikt in zijn geheel volgens de gebruiksaanwijzing, met het knooptouw geknoopt in een 5-wikkel Distel-configuratie. TÜV Austria Services GmbH (0408) als notified body. Bron: iscwales.com productpagina + eigen UIM/Declaration of Conformity. Handleiding (gedeeld ISC-document ""ROPE WRENCH SYSTEM"" UIM, o.a. gehost op iscwales.com/Uploads/Products/UIMs/ onder verschillende bestandsnamen per kit-variant maar byte-voor-byte identiek bestand; curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" Deze PPE Regs Kit bevat zowel aluminium hardware (rope wrench, poelie, karabiner) als polyester textiel (knooptouw, klimtouw). Zelfde categorie-conventie als de reeds bestaande ISC Merlin Block-rijen (UB033/UB066, Aluminium/Webbing, categorie srl) in deze catalogus, die voor exact dezelfde generieke ISC-Lifespan-tekst al op max_age_use_years=10 / max_age_mfr_years=10 staan: bij een kit met gemengd metaal+textiel geldt de kortste (textiel-)grens voor de hele kit, niet ""onbeperkt"" omdat er ook metaal in zit. De tekst noemt geen apart getal voor fabricagejaar vs. eerste-gebruiksdatum, dus (net als bij de Merlin Block-rijen) dezelfde waarde (10) voor beide velden. Niet geëxtrapoleerd van andere merken; wel consistent toegepast binnen ISC zelf op basis van dezelfde letterlijke bron."
684c240d-aacc-46f3-bca3-d336271a8fed,ISC,Luke Oval Quadlock (4-way) KH411QL,,,,,,999,999,,,,,,,,,,,,,,"Ovale aluminium karabiner, 25 kN, gate-opening 21 mm. Vermoedelijk uitgefaseerd: staat nog in ISC's eigen ""KH, KL, SH Series""-gebruiksaanwijzing van december 2018 (Issue B), maar niet meer in de actuele versie (Issue M, juli 2025) of op iscwales.com zelf. ISC's huidige aluminium ovale karabiner is KH221 (bijna identieke specs). Marketingnaam bij ISC: ""Luke"" (Luke Oval). Leeftijd: onbeperkt (999) voor use en mfr. Bron: het bestaande manual_url (cdn.shopify.com-kopie van ISC's ""KH, KL, SH Series"" UIM, Issue B - Dec 2018; zelf gedownload en gelezen, curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" KH411 Luke Oval is 100% aluminium (categorie connectors) -> indefinite. Zelfde categorie-conventie als alle overige pure-metalen ISC-connectoren in deze catalogus (Big Dan, Captive Eye, D Shape Keylock e.a.), die allemaal al op 999/999 staan. LET OP handleiding-kwaliteit (bewust NIET gewijzigd door mij, ter beoordeling aan Jos): dit product staat niet meer op iscwales.com zelf (bevestigt de bestaande notitie in deze rij: ""vermoedelijk uitgefaseerd""). Ik heb dezelfde bestandsnaam ook rechtstreeks op iscwales.com/Uploads/Products/UIMs/ geprobeerd (curl 200/application-pdf) -- die URL bestaat nog, maar serveert inmiddels een ANDER, nieuwer document (""KL120/121 Oval Karabiners"", met KH221 genoemd als moderne opvolger) dat niet over KH411 gaat. Er is dus geen alternatieve fabrikant-link beschikbaar voor dit uitgefaseerde model. manual_url is in deze levering NIET gewijzigd of leeggemaakt -- graag een besluit van Jos of de Shopify-kopie (geen webwinkel-pagina, wel een reseller-CDN) blijft staan, of dat die conform de ""geen winkel als noodgreep""-regel leeg moet."
90fd96e9-daf6-4735-8563-006175453f0f,ISC,Luke Oval Screwgate KH411SG,,,,,,999,999,,,,,,,,,,,,,,"Ovale aluminium karabiner, 25 kN, gate-opening 21 mm. Vermoedelijk uitgefaseerd: staat nog in ISC's eigen ""KH, KL, SH Series""-gebruiksaanwijzing van december 2018 (Issue B), maar niet meer in de actuele versie (Issue M, juli 2025) of op iscwales.com zelf. ISC's huidige aluminium ovale karabiner is KH221 (bijna identieke specs). Marketingnaam bij ISC: ""Luke"" (Luke Oval). Leeftijd: onbeperkt (999) voor use en mfr. Bron: het bestaande manual_url (cdn.shopify.com-kopie van ISC's ""KH, KL, SH Series"" UIM, Issue B - Dec 2018; zelf gedownload en gelezen, curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" KH411 Luke Oval is 100% aluminium (categorie connectors) -> indefinite. Zelfde categorie-conventie als alle overige pure-metalen ISC-connectoren in deze catalogus (Big Dan, Captive Eye, D Shape Keylock e.a.), die allemaal al op 999/999 staan. LET OP handleiding-kwaliteit (bewust NIET gewijzigd door mij, ter beoordeling aan Jos): dit product staat niet meer op iscwales.com zelf (bevestigt de bestaande notitie in deze rij: ""vermoedelijk uitgefaseerd""). Ik heb dezelfde bestandsnaam ook rechtstreeks op iscwales.com/Uploads/Products/UIMs/ geprobeerd (curl 200/application-pdf) -- die URL bestaat nog, maar serveert inmiddels een ANDER, nieuwer document (""KL120/121 Oval Karabiners"", met KH221 genoemd als moderne opvolger) dat niet over KH411 gaat. Er is dus geen alternatieve fabrikant-link beschikbaar voor dit uitgefaseerde model. manual_url is in deze levering NIET gewijzigd of leeggemaakt -- graag een besluit van Jos of de Shopify-kopie (geen webwinkel-pagina, wel een reseller-CDN) blijft staan, of dat die conform de ""geen winkel als noodgreep""-regel leeg moet."
40cd2641-1bc4-4fe6-b216-aade2140294f,ISC,Luke Oval Supersafe (3-way) KH411SS,,,,,,999,999,,,,,,,,,,,,,,"Ovale aluminium karabiner, 25 kN, gate-opening 21 mm. Vermoedelijk uitgefaseerd: staat nog in ISC's eigen ""KH, KL, SH Series""-gebruiksaanwijzing van december 2018 (Issue B), maar niet meer in de actuele versie (Issue M, juli 2025) of op iscwales.com zelf. ISC's huidige aluminium ovale karabiner is KH221 (bijna identieke specs). Marketingnaam bij ISC: ""Luke"" (Luke Oval). Leeftijd: onbeperkt (999) voor use en mfr. Bron: het bestaande manual_url (cdn.shopify.com-kopie van ISC's ""KH, KL, SH Series"" UIM, Issue B - Dec 2018; zelf gedownload en gelezen, curl-geverifieerd 200/application-pdf), sectie ""Lifespan"", letterlijk: ""The potential lifetime of ISC products is up to 10 years for plastic or textile products, and indefinite for metal products."" KH411 Luke Oval is 100% aluminium (categorie connectors) -> indefinite. Zelfde categorie-conventie als alle overige pure-metalen ISC-connectoren in deze catalogus (Big Dan, Captive Eye, D Shape Keylock e.a.), die allemaal al op 999/999 staan. LET OP handleiding-kwaliteit (bewust NIET gewijzigd door mij, ter beoordeling aan Jos): dit product staat niet meer op iscwales.com zelf (bevestigt de bestaande notitie in deze rij: ""vermoedelijk uitgefaseerd""). Ik heb dezelfde bestandsnaam ook rechtstreeks op iscwales.com/Uploads/Products/UIMs/ geprobeerd (curl 200/application-pdf) -- die URL bestaat nog, maar serveert inmiddels een ANDER, nieuwer document (""KL120/121 Oval Karabiners"", met KH221 genoemd als moderne opvolger) dat niet over KH411 gaat. Er is dus geen alternatieve fabrikant-link beschikbaar voor dit uitgefaseerde model. manual_url is in deze levering NIET gewijzigd of leeggemaakt -- graag een besluit van Jos of de Shopify-kopie (geen webwinkel-pagina, wel een reseller-CDN) blijft staan, of dat die conform de ""geen winkel als noodgreep""-regel leeg moet."
