id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,At Height,PulleyOne P36,,,,,,,,,,,,,,,,,,,,,"Niet gevonden. atheight.com is een geparkeerd/te-koop domein (GoDaddy 'forsale' redirect) - geen actieve fabrikantensite meer. atheightuk.com (UK-verkoper onder de naam 'At Height') heeft geen PulleyOne P36/P36B in de huidige productcatalogus (wel RA2, Drill Winch, Swivel Pulleys, Climbing Helmets, ChokerBiner). at-height.com is een ander, ongerelateerd bedrijf (Amerikaanse groothandel klimuitrusting; blokkeert automatisch verkeer met HTTP 403) - niet de fabrikant. De enige gevonden 'Notice technique Pulleyone At Height' (4,43 MB) staat alleen gehost op de Franse webwinkel elagage-hevea.com - dat is een wederverkoper en dus uitgesloten als bron (CLAUDE.md-regel: geen winkels als bron voor de link zelf); poging om via de PDF-metadata het echte fabrikantsdomein te achterhalen leverde niets bruikbaars op (Illustrator-PDF zonder leesbare tekstlaag/URL's). De Wayback Machine kon in deze omgeving niet geraadpleegd worden (netwerktoegang geblokkeerd). Aanbeveling: vraag Jos of hij rechtstreeks contact heeft met At Height Ltd / Jammy Design, of een archiefkopie van de oude atheight.com bezit."
,At Height,PulleyOne P36B - premium bearing,,,,,,,,,,,,,,,,,,,,,"Niet gevonden, zelfde situatie als PulleyOne P36 (zie die rij): atheight.com geparkeerd/te koop, atheightuk.com voert dit product niet, at-height.com is een ander bedrijf en blokkeert bots, en de enige technische notice die opduikt staat alleen op de wederverkoperssite elagage-hevea.com (uitgesloten als bron). Ook hier geen bruikbare fabrikants-URL gevonden."
,Beal,Air Top,,,,,,,,,,,,,,,,,,,,,"Niet meer gevonden op beal-planet.com (door Jos gecontroleerd) — mogelijk uitgefaseerd of hernoemd. Opnieuw gecontroleerd 2026-09-16: 'air-top' komt niet voor in de actuele Shopify-productsitemap (wel air-stop, air-sit, top-dragon); oude productpagina toont nu alleen de algemene harnasoverzichtspagina (soft-404). Bevestigt dat het product vermoedelijk is uitgefaseerd of hernoemd naar Air Stop of Air Sit."
,Beal,Prusik Cord 10mm,,,,,,,,,,,,,,,https://www.beal-planet.com/cdn/shop/files/Volcano_10mm_12mm_-_Notice_Depliant_-_0326_4c0cdc45-9505-4461-a95a-c538cb85a7f8.pdf,https://www.beal-planet.com/en/products/volcano-10mm-prusiks,,,,,"LET OP - aanname: 'Prusik Cord 10mm' is geen letterlijke Beal-productnaam; Beal voert twee 10mm-prusikkoorden: VOLCANO (50% aramide, verkrijgbaar in 8/10/12mm, specifiek voor autoblokkerende knopen/prusiks) en REGATE (dubbel gevlochten polyester, 10mm). Voor REGATE werd geen aparte instructie-PDF gevonden; voor VOLCANO wel, een 'Notice/Depliant' in meerdere talen. Gekozen voor Volcano omdat dit expliciet als prusikkoord wordt verkocht en een geverifieerde handleiding heeft. Manual gecontroleerd: HTTP 200, content-type application/pdf, geldige %PDF-header. Verifieer bij Jos of dit de bedoelde SKU is, of dat Regate toch bedoeld werd."
,Climbing Technology,SPARROW,,,,,,,,,,,,,,,https://www.climbingtechnology.com/wp-content/uploads/2016/06/IST23-SP200CTS_rev-0_12-21.pdf,https://www.climbingtechnology.com/en/professional-en/descenders/sparrow_200r,,,,,"LET OP - aanname: Climbing Technology voert in de huidige catalogus alleen 'Sparrow 200R' (zelfremmend afdaalapparaat); een los model met alleen de naam 'SPARROW' bestaat niet (bevestigd via de descenders-categoriepagina op climbingtechnology.com, die alleen Sparrow 200R, Otto L, Otto R en Otto R S-Steel toont). Ervan uitgegaan dat de catalogusnaam 'SPARROW' naar dit model verwijst - dit is het eigen Climbing Technology-product (Aludesign S.p.A.), NIET te verwarren met Skylotec's eigen, anders geconstrueerde 'SPARROW 200R'. Manual geverifieerd: HTTP 200, content-type application/pdf, geldige %PDF-header (IST23-SP200CTS, revisie 12-21)."
,Donaghys,NRG Climbing Line,,,,,,,,,,,,,,,,,,,,,"12mm klimlijn voor sportklimmen/arboristen (voetklem-/SRT-gebruik), lichtgewicht, 100m en 200m rollen. Geen technische fact sheet, materiaalsoort of breekkracht gevonden op de fabrikantsite -> leeg gelaten, niet verzonnen. handleiding niet gevonden. Opnieuw gecontroleerd 2026-09-16: geen enkel Donaghys-domein (donaghys.com/.com.au, donaghysrope(s).com.au) publiceert een instructie- of gebruiksdocument voor NRG specifiek; alleen algemene splice-instructies en 9 productbrochures zonder klim-/arboristlijn."
,English Braids,Silva Prusik,,,,,,,,,,,,,,,,,,,,,"Prusiklus-/frictieknoopkoord voor arboristen en werken-op-hoogte; anti-kink constructie; blauw/geel, 200m rol. Geen apart technisch-fiche-PDF op de site gevonden (raw HTML van de productpagina bevat geen .pdf-link, alleen een algemene brochurepagina). handleiding niet gevonden. Opnieuw gecontroleerd 2026-09-16: de 'Technical Hub' van englishbraids.com meldt letterlijk 'No technical documents found'; alleen het algemene brochure-document EB-Height-Safety.pdf (marketing) en Declarations of Conformity bestaan, geen instructie."
,English Braids,Silva Prusik Pro,,,,,,,,,,,,,,,,,,,,,"Hittebestendig prusik-/frictiekoord (mantel smelt pas >500°C); 3.4kg/100m, 200m rol, ook leverbaar met fabrieksgenaaide lussen. Geen technisch-fiche-PDF op de site gevonden (gecontroleerd in raw HTML). handleiding niet gevonden. Opnieuw gecontroleerd 2026-09-16: zelfde situatie als Silva Prusik — Technical Hub meldt 'No technical documents found', alleen brochure en DoC's beschikbaar."
,Gleistein,GeoAccess Accessory Cord,,,,,,,,,,,,,,,,,,,,,"Reepschnoer 'CE certified from 4 mm diameter according EN 565' (3mm-uitvoering dus mogelijk niet CE-gecertificeerd). Materiaal niet vermeld op site. Handleiding niet gevonden: geen specifieke Gebrauchsanleitung voor reepschnoer op gleistein.com/downloads gevonden (enkel klimtouw-, hijsband- en prusik-handleidingen); technisch datasheet-knop op de pagina is JS-gegenereerd en kon niet als directe PDF-link achterhaald worden binnen beschikbare tijd. Opnieuw gecontroleerd 2026-09-16: gleistein.com/en/downloads/instructions/ bevestigt dat GeoAccess Accessory Cord niet voorkomt in de lijst van 7 beschikbare Bedienungsanleitungen; productpagina heeft alleen een Datenblatt."
,Gleistein,Safety wire,,,,,,,,,,,,,,,,,,,,,"Snijbestendige (motorzaag) veiligheidslijn met stalen kern, voor extra persoonlijke veiligheid bij werk met de kettingzaag - vermoedelijk gebruikt als flipline/positioneringslijn-materiaal. Geen EN-norm vermeld op site. Handleiding niet gevonden: de algemene 'Statikseil'-gebruiksaanwijzing van Gleistein dekt kernmantel-touwen zonder stalen kern - onduidelijk of deze van toepassing is op de staalkern-uitvoering, daarom niet toegewezen; navragen bij Gleistein. Opnieuw gecontroleerd 2026-09-16: bevestigd dat Safety wire ook niet voorkomt in de 13-producten-tellende Gebrauchsanweisungen-lijst van gleistein.com/downloads; alleen een Datenblatt beschikbaar. Product bevestigd als EN358-positioneringslijn, tevens bruikbaar als EN795 klasse B ankerpunt, met ingebouwde Sidewinder-triloc-karabiner."
