id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,TreeUP,P-71E,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden. Gecontroleerd: protekt.uk productpagina's (safety-harness-with-elastic-webbing~p863~c5262 en ~c40) tonen alleen EU-conformiteitsverklaring + algemene verkoopvoorwaarden, geen instructie-PDF. TreeUP wordt geproduceerd door PROTEKT (Lodz, PL) - ook treeup.pl gecheckt, geen downloads/instructies-sectie. Verwante families die wel een manual hebben dekken P-71E niet: P60_60C_60EC_Manual_EN.pdf (protekt.uk/instrukcje/szelki/P60/) dekt alleen P-60/P-60E/P-60C/P-60EC/P-61/P-61E/P-61C/P-61EC (EN361+EN358, geen P-71-code); de mX-manual (.../szelki/mX/P70mX_71mX_P71EmX_71mXR_73mX_90mX_Manual_EN.pdf) dekt P-71EmX maar niet de gewone P-71E (ander materiaal: polyester i.p.v. polyamide). Poolse familiehandleiding P90_90C_73_71_71C_71CR_70_70C_Instrukcja_Uzytkowania_PL.pdf bevat evenmin de code P-71E. Advies: navragen bij Protekt/TreeUP zelf om de juiste instructie-PDF."
,TreeUP,TU 129 10.5mm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden voor deze TU 12x/13x werklijn. Productpagina protekt.uk toont onder 'Download' alleen een technisch datasheet ('Product card', geen instructie) via /robokat/datasheet/product; sitemap en tientallen URL-varianten in /instrukcje/ en /instructions/ geprobeerd, allemaal 404. Eén via zoekmachine gevonden link (protekt.pl/instructions/<id>/instruction-tu-13x.pdf) bleek bij verificatie een dode 301-redirect naar de protekt.pl-homepage (soft-404, dus niet gebruikt - conform de linkcheck-afspraak). Ook treeup.pl (eigen merksite) en de ropes-categoriepagina op protekt.uk bevatten geen instructie-PDF. Advies: navragen bij Protekt/TreeUP."
,TreeUP,TU 129 10mm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden voor deze TU 12x/13x werklijn. Productpagina protekt.uk toont onder 'Download' alleen een technisch datasheet ('Product card', geen instructie) via /robokat/datasheet/product; sitemap en tientallen URL-varianten in /instrukcje/ en /instructions/ geprobeerd, allemaal 404. Eén via zoekmachine gevonden link (protekt.pl/instructions/<id>/instruction-tu-13x.pdf) bleek bij verificatie een dode 301-redirect naar de protekt.pl-homepage (soft-404, dus niet gebruikt - conform de linkcheck-afspraak). Ook treeup.pl (eigen merksite) en de ropes-categoriepagina op protekt.uk bevatten geen instructie-PDF. Advies: navragen bij Protekt/TreeUP."
,TreeUP,TU 130 13mm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden voor deze TU 12x/13x werklijn. Productpagina protekt.uk toont onder 'Download' alleen een technisch datasheet ('Product card', geen instructie) via /robokat/datasheet/product; sitemap en tientallen URL-varianten in /instrukcje/ en /instructions/ geprobeerd, allemaal 404. Eén via zoekmachine gevonden link (protekt.pl/instructions/<id>/instruction-tu-13x.pdf) bleek bij verificatie een dode 301-redirect naar de protekt.pl-homepage (soft-404, dus niet gebruikt - conform de linkcheck-afspraak). Ook treeup.pl (eigen merksite) en de ropes-categoriepagina op protekt.uk bevatten geen instructie-PDF. Advies: navragen bij Protekt/TreeUP."
,TreeUP,TU 131 10.5mm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden voor deze TU 12x/13x werklijn. Productpagina protekt.uk toont onder 'Download' alleen een technisch datasheet ('Product card', geen instructie) via /robokat/datasheet/product; sitemap en tientallen URL-varianten in /instrukcje/ en /instructions/ geprobeerd, allemaal 404. Eén via zoekmachine gevonden link (protekt.pl/instructions/<id>/instruction-tu-13x.pdf) bleek bij verificatie een dode 301-redirect naar de protekt.pl-homepage (soft-404, dus niet gebruikt - conform de linkcheck-afspraak). Ook treeup.pl (eigen merksite) en de ropes-categoriepagina op protekt.uk bevatten geen instructie-PDF. Advies: navragen bij Protekt/TreeUP."
,TreeUP,TU 131 10mm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden voor deze TU 12x/13x werklijn. Productpagina protekt.uk toont onder 'Download' alleen een technisch datasheet ('Product card', geen instructie) via /robokat/datasheet/product; sitemap en tientallen URL-varianten in /instrukcje/ en /instructions/ geprobeerd, allemaal 404. Eén via zoekmachine gevonden link (protekt.pl/instructions/<id>/instruction-tu-13x.pdf) bleek bij verificatie een dode 301-redirect naar de protekt.pl-homepage (soft-404, dus niet gebruikt - conform de linkcheck-afspraak). Ook treeup.pl (eigen merksite) en de ropes-categoriepagina op protekt.uk bevatten geen instructie-PDF. Advies: navragen bij Protekt/TreeUP."
,TreeUP,TU 131 11.5mm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden voor deze TU 12x/13x werklijn. Productpagina protekt.uk toont onder 'Download' alleen een technisch datasheet ('Product card', geen instructie) via /robokat/datasheet/product; sitemap en tientallen URL-varianten in /instrukcje/ en /instructions/ geprobeerd, allemaal 404. Eén via zoekmachine gevonden link (protekt.pl/instructions/<id>/instruction-tu-13x.pdf) bleek bij verificatie een dode 301-redirect naar de protekt.pl-homepage (soft-404, dus niet gebruikt - conform de linkcheck-afspraak). Ook treeup.pl (eigen merksite) en de ropes-categoriepagina op protekt.uk bevatten geen instructie-PDF. Advies: navragen bij Protekt/TreeUP."
,TreeUP,TU 131 11mm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden voor deze TU 12x/13x werklijn. Productpagina protekt.uk toont onder 'Download' alleen een technisch datasheet ('Product card', geen instructie) via /robokat/datasheet/product; sitemap en tientallen URL-varianten in /instrukcje/ en /instructions/ geprobeerd, allemaal 404. Eén via zoekmachine gevonden link (protekt.pl/instructions/<id>/instruction-tu-13x.pdf) bleek bij verificatie een dode 301-redirect naar de protekt.pl-homepage (soft-404, dus niet gebruikt - conform de linkcheck-afspraak). Ook treeup.pl (eigen merksite) en de ropes-categoriepagina op protekt.uk bevatten geen instructie-PDF. Advies: navragen bij Protekt/TreeUP."
,TreeUP,TU 131 12mm,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden voor deze TU 12x/13x werklijn. Productpagina protekt.uk toont onder 'Download' alleen een technisch datasheet ('Product card', geen instructie) via /robokat/datasheet/product; sitemap en tientallen URL-varianten in /instrukcje/ en /instructions/ geprobeerd, allemaal 404. Eén via zoekmachine gevonden link (protekt.pl/instructions/<id>/instruction-tu-13x.pdf) bleek bij verificatie een dode 301-redirect naar de protekt.pl-homepage (soft-404, dus niet gebruikt - conform de linkcheck-afspraak). Ook treeup.pl (eigen merksite) en de ropes-categoriepagina op protekt.uk bevatten geen instructie-PDF. Advies: navragen bij Protekt/TreeUP."
,TreeUP,TU 900 0.4m,,,,,,,,,,,,,,,,,,,,,"Geen handleiding gevonden voor de TU 900 cambium saver. Productpagina protekt.uk/cambium-protector~p4198~c5268 bevat alleen de EU-conformiteitsverklaring (EN 795 Type B) en een Poolse declaratie, geen instructie-PDF; declaratie zelf bevat ook geen gebruiksaanwijzing. Diverse URL-patronen in /instrukcje/ geprobeerd (404). treeup.pl gecheckt, geen downloads-sectie. Advies: navragen bij Protekt/TreeUP."
