id,brand,name,product_type,category,material,standard,manufacturer_code,max_age_use_years,max_age_mfr_years,breaking_strength,working_load_limit,max_user_weight_kg,rope_diameter_min_mm,rope_diameter_max_mm,serial_number_location,interval_override_months,manual_url,product_page_url,recall_url,recall_date,inspection_notice_url,inspection_notice_date,notes
,Gleistein,Cougar,ppe,climbing_ropes,"Polyester (gevlochten mantel, parallelle kern)",,,,10,29.4 kN,,,12,12,,,https://gleistein.com/fileadmin/user_upload/Gleistein/Downloads/Anleitungen/Bedienungsanleitung_Statikseil_Gleistein.pdf,https://gleistein.com/en/applications/arborist/single-product/cougar/,,,,,"Statisch klimtouw voor boomverzorging, lage kern-mantel-slip. Geen expliciete EN-normering vermeld op productpagina; de Gleistein-gebruiksaanwijzing spreekt over 'Seile der Form A/B' (vergelijkbaar met EN 1891 Type A/B-terminologie) maar noemt de norm zelf niet - PBM-certificeringsstatus niet bevestigd, navragen bij Gleistein voordat als valbeveiliging gebruikt. manual_url is de algemene 'Statikseil'-gebruiksaanwijzing (dekt Cougar/GeoStatic NE/Lizard), zelf geverifieerd met curl: 200 application/pdf. Volgens die handleiding: max. opslagduur onbenut 10 jaar, bij incidenteel gebruik richtlijn ca. 6 jaar (sterk afhankelijk van gebruiksintensiteit/conditie) - daarom niet ingevuld als harde max_age_use_years. Breeklast/gewicht van technisch datablad op productpagina."
,Gleistein,Lizard,ppe,climbing_ropes,"Polyester (gevlochten, waterafstotende coating)",,,,10,33 kN,,,11,11,,,https://gleistein.com/fileadmin/user_upload/Gleistein/Downloads/Anleitungen/Bedienungsanleitung_Statikseil_Gleistein.pdf,https://gleistein.com/en/applications/arborist/single-product/lizard/,,,,,"Waterafstotend klimtouw. Site vermeldt alleen 'CE certified', geen concreet EN-nummer gevonden - niet gegokt, navragen bij Gleistein. Zelfde algemene Statikseil-handleiding als Cougar (curl geverifieerd: application/pdf). Max. opslagduur onbenut 10 jaar per handleiding; gebruiksduur sterk conditie-afhankelijk, niet als harde waarde ingevuld."
,Gleistein,GeoStatic NE,ppe,climbing_ropes,,,,,10,"27-42 kN (afhankelijk van diameter, zie 9/10.5/11/12mm)",,,9,12,,,https://gleistein.com/fileadmin/user_upload/Gleistein/Downloads/Anleitungen/Bedienungsanleitung_Statikseil_Gleistein.pdf,https://gleistein.com/en/applications/arborist/single-product/geostatic-ne/,,,https://gleistein.com/fileadmin/user_upload/Gleistein/Downloads/Anleitungen/Kontrollkarte_Statikseil.pdf,,"Statisch klimtouw, 4 diameters (9/10.5/11/12mm) met resp. 27/31/35/42 kN lineaire breeklast. Materiaal niet expliciet vermeld op site. Geen EN-nummer gevonden op productpagina of in handleiding (zie caveat bij Cougar). manual_url en inspection_notice_url beide rechtstreeks van de Gleistein-downloadpagina, curl-geverifieerd: 200 application/pdf."
,Gleistein,GeoAccess Accessory Cord,ppe,accessory_cord,,EN 565,,,,2.8-17 kN (afhankelijk van diameter 3-8mm),,,3,8,,,,https://gleistein.com/en/applications/arborist/single-product/geoaccess-reepschnur/,,,,,"Reepschnoer 'CE certified from 4 mm diameter according EN 565' (3mm-uitvoering dus mogelijk niet CE-gecertificeerd). Materiaal niet vermeld op site. Handleiding niet gevonden: geen specifieke Gebrauchsanleitung voor reepschnoer op gleistein.com/downloads gevonden (enkel klimtouw-, hijsband- en prusik-handleidingen); technisch datasheet-knop op de pagina is JS-gegenereerd en kon niet als directe PDF-link achterhaald worden binnen beschikbare tijd."
,Gleistein,Gemini S,rigging,rigging_line,Polyester (holle vlecht),,,,,"50-91 kN (lineair, 7-10mm)",,,7,10,,,https://gleistein.com/fileadmin/user_upload/Gleistein/Downloads/Flyer/Installation-Gleistein-ropes.pdf,https://gleistein.com/en/applications/arborist/single-product/gemini-s/,,,,,"Voor het beveiligen/steunen van takken en als onderdeel van vlechtband-kabelsystemen (boomkroonverankering/'treetops') - geen persoonlijke valbeveiliging, daarom niet als PPE geclassificeerd. Geen EN-norm vermeld. manual_url is de algemene Gleistein installatie-/onderhoudsgids voor touwen (niet productspecifiek), curl-geverifieerd: 200 application/pdf."
,Gleistein,Gemini X,rigging,rigging_line,"Polyester (niet-verhardend, dubbele vlecht)",,,,,"10-220 kN (lineair, 6-32mm)",,,6,32,,,https://gleistein.com/fileadmin/user_upload/Gleistein/Downloads/Flyer/Installation-Gleistein-ropes.pdf,https://gleistein.com/en/applications/arborist/single-product/gemini-x/,,,,,"Allround rigginglijn/hijslijn, ideaal met prusikslingen. Geen EN-norm vermeld (non-PPE rigging). manual_url = algemene Gleistein installatie-/onderhoudsgids voor touwen, curl-geverifieerd: 200 application/pdf."
,Gleistein,Inco Roundsling,ppe,anchor_strop,,EN 354 / EN 566,,,,22 kN (gespleten),,,10,10,,,https://gleistein.com/fileadmin/user_upload/Gleistein/Downloads/Anleitungen/Bedienungsanleitung_Klemmschlinge_Inco_Prusik.pdf,https://gleistein.com/en/applications/arborist/single-product/inco-rundschlinge-030-m/,,,,,"Kant-en-klare rondstrop/ankerlus voor tijdelijk ankerpunt op klimtouw, leverbaar in 30/40/50/60cm. Materiaal niet gespecificeerd op site. manual_url is de Gleistein-gebruiksaanwijzing 'Klemmschlinge Inco Prusik' (curl geverifieerd: 200 application/pdf) - titel wijst op het verwante Inco Prusik-product; niet 100% zeker dat dit exact dezelfde rondstrop-variant dekt, navragen bij Gleistein."
,Gleistein,Inco Prusik (Klemmschlinge),ppe,anchor_strop,Hittebestendige vezelmix (samenstelling niet gespecificeerd),EN 354 / EN 566,,,,27 kN,,,10,10,,,https://gleistein.com/fileadmin/user_upload/Gleistein/Downloads/Anleitungen/Bedienungsanleitung_Klemmschlinge_Inco_Prusik.pdf,https://gleistein.com/en/applications/arborist/single-product/klemmschlinge-inco-prusik-045-m/,,,,,"Klemschlinge/friction-hitch-lus met grip-geoptimaliseerd oppervlak voor gebruik op het klimtouw, leverbaar in lengtes 45/55/65/70/80/90/100cm. Handleiding bevestigt: 'Das Seil ist Teil einer Persönlichen Schutzausrüstung (PSA)'. manual_url curl-geverifieerd: 200 application/pdf. Opslagduur onbenut max. 10 jaar, gebruiksduur ca. 6 jaar bij incidenteel gebruik (conditie-afhankelijk, niet als vaste max_age_use_years ingevuld)."
,Gleistein,Safety wire,ppe,climbing_ropes,Stalen kern met textiele mantel (snijbestendig),,,,,24.4 kN (lineair) / 22 kN (gespleten),,,13,13,,,,https://gleistein.com/en/applications/arborist/single-product/safety-wire/,,,,,"Snijbestendige (motorzaag) veiligheidslijn met stalen kern, voor extra persoonlijke veiligheid bij werk met de kettingzaag - vermoedelijk gebruikt als flipline/positioneringslijn-materiaal. Geen EN-norm vermeld op site. Handleiding niet gevonden: de algemene 'Statikseil'-gebruiksaanwijzing van Gleistein dekt kernmantel-touwen zonder stalen kern - onduidelijk of deze van toepassing is op de staalkern-uitvoering, daarom niet toegewezen; navragen bij Gleistein."
,Gleistein,Cast Line PE,no_ppe,rigging_line,Polyethyleen (PE),,,,,0.78 kN (lineair),,,3,3,,,,https://gleistein.com/en/applications/arborist/single-product/wurfleine-pe/,,,,,"Werplijn (throwline) voor het inschieten van klimtouw in de boom - geen PBM, draagt geen personen. Handleiding niet gevonden (en niet vereist voor dit non-PPE werptouw)."
